subno sex aw an cxew cxen
1 F 44.6667 44 43.2409 45.1564
2 F 42.7083 43.7273 46.8628 45.1278
3 F 41.6957 41.8182 44.4939 43.3712
4 F 34.7778 37.1364 35.2715 34.4035
5 F 47.0833 44.3478 46.2482 46.3137
6 F 39.7727 41.7647 42.9762 42.1587
7 F 44.125 44.6667 43.5898 43.6742
16 M 43.7826 43.7619 43.5041 43.6543
17 M 49.7727 54.0952 50.7373 55.4451
18 M 28.5556 31.1176 28.8856 26.8333
19 M 33.7059 34.1765 34.6903 31.7301
20 M 38.6667 39.0435 37.7833 38.4417
21 M 41.1364 40.2609 38.3768 40.0405
22 M 52.9545 54.3913 54.9234 53.7414
23 M 44.125 42.6364 43.0367 42.6009
24 M 44.125 42.6364 43.0367 42.6009
